City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Broome,US,2021-03-21 19:52:20,42.2506,-75.833,62.01,16,1,1.97
191,Tigil,RU,2021-03-21 19:52:20,57.8,158.6667,1.85,82,100,4.61
192,Ruidoso,US,2021-03-21 19:52:21,33.3317,-105.673,64.4,14,1,23.02
193,Okmulgee,US,2021-03-21 19:52:21,35.6234,-95.9605,68.0,40,1,23.02
194,Batagay,RU,2021-03-21 19:52:21,67.6333,134.6333,0.7,81,100,3.49
195,Tazovskiy,RU,2021-03-21 19:52:21,67.4667,78.7,0.81,94,100,13.56
196,Dingle,PH,2021-03-21 19:52:22,10.9995,122.6711,77.77,86,83,8.3
197,Georgetown,MY,2021-03-21 19:49:05,5.4112,100.3354,82.4,83,20,3.44
198,Filingue,NE,2021-03-21 19:52:22,14.3521,3.3168,87.78,12,8,2.64
199,Rolla,US,2021-03-21 19:52:22,37.9514,-91.7713,66.99,32,1,19.57
200,Cabedelo,BR,2021-03-21 19:52:22,-6.9811,-34.8339,84.2,70,40,11.5
201,Dicabisagan,PH,2021-03-21 19:52:23,17.0818,122.4157,76.96,89,100,11.54
202,Petropavlovsk-Kamchatskiy,RU,2021-03-21 19:52:23,53.0452,158.6483,19.4,68,75,4.47
203,Acajutla,SV,2021-03-21 19:50:55,13.5928,-89.8275,87.8,35,20,6.91
204,Lucea,JM,2021-03-21 19:52:23,18.451,-78.1736,84.2,65,20,18.41
205,Porto Walter,BR,2021-03-21 19:52:23,-8.2686,-72.7439,78.87,91,100,2.89
206,Mount Isa,AU,2021-03-21 19:52:24,-20.7333,139.5,77.0,78,100,6.91
207,Caravelas,BR,2021-03-21 19:52:24,-17.7125,-39.2481,79.97,72,99,5.7
208,Ixtapa,MX,2021-03-21 19:52:25,20.7,-105.2,77.0,61,1,9.22
209,Stokmarknes,NO,2021-03-21 19:52:25,68.5646,14.9108,28.4,100,75,2.3
210,Touros,BR,2021-03-21 19:52:25,-5.1989,-35.4608,86.0,62,40,14.97
211,Luderitz,NA,2021-03-21 19:52:25,-26.6481,15.1594,69.01,61,0,16.06
212,Faanui,PF,2021-03-21 19:52:26,-16.4833,-151.75,83.59,71,1,10.07
213,Henties Bay,NA,2021-03-21 19:52:26,-22.116,14.2845,62.01,88,0,3.0
214,Greenwood,US,2021-03-21 19:52:26,34.1668,-82.1165,62.6,42,75,13.8
215,Batagay-Alyta,RU,2021-03-21 19:52:26,67.8006,130.4114,-8.16,95,99,3.24
216,Cidreira,BR,2021-03-21 19:48:51,-30.1811,-50.2056,76.75,85,100,10.27
217,Newtonmore,GB,2021-03-21 19:52:27,57.066,-4.1192,46.4,71,75,6.91
218,Khatanga,RU,2021-03-21 19:52:27,71.9667,102.5,-24.47,78,0,7.38
219,Sabang,ID,2021-03-21 19:52:27,5.8933,95.3214,82.78,69,100,2.84
220,Zhanaozen,KZ,2021-03-21 19:52:27,43.3,52.8,39.99,78,99,7.83
221,Flin Flon,CA,2021-03-21 19:52:28,54.7682,-101.865,30.2,51,40,16.11
222,Nome,US,2021-03-21 19:52:28,64.5011,-165.4064,12.99,79,90,0.87
223,Kurayoshi,JP,2021-03-21 19:52:28,35.4333,133.8167,46.4,66,75,11.5
224,Komsomolskiy,UZ,2021-03-21 19:52:28,40.4272,71.7189,46.4,81,0,4.61
225,La Ronge,CA,2021-03-21 19:52:28,55.1001,-105.2842,23.0,50,89,13.8
226,Muisne,EC,2021-03-21 19:52:29,0.6,-80.0333,82.4,83,75,9.22
227,Ayabaca,PE,2021-03-21 19:52:29,-4.6398,-79.7149,56.37,83,100,5.17
