City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
209,Tiarei,-17.5333,-149.3333,83,75,3.44,PF,2021-03-27 18:19:16,78.8,light rain
210,Yumen,40.2833,97.2,42,100,6.58,CN,2021-03-27 18:22:56,47.26,overcast clouds
211,Kulevcha,46.0303,29.9361,71,100,7.4,UA,2021-03-27 18:24:11,45.3,overcast clouds
212,Wau,7.7029,27.9953,40,56,3.94,SS,2021-03-27 18:24:11,85.12,broken clouds
213,Fairbanks,64.8378,-147.7164,85,75,1.01,US,2021-03-27 18:16:47,17.6,broken clouds
214,Marawi,7.9986,124.2928,92,95,7.0,PH,2021-03-27 18:19:21,75.0,overcast clouds
215,Castro,-24.7911,-50.0119,51,94,4.63,BR,2021-03-27 18:21:03,81.75,overcast clouds
216,Padang,-0.9492,100.3543,94,75,3.44,ID,2021-03-27 18:17:55,78.8,broken clouds
217,Poum,-20.2333,164.0167,76,55,10.78,NC,2021-03-27 18:19:31,80.02,broken clouds
218,Cabedelo,-6.9811,-34.8339,70,20,10.36,BR,2021-03-27 18:24:12,86.0,few clouds
219,Okitipupa,6.5047,4.7839,81,61,6.38,NG,2021-03-27 18:24:12,79.52,broken clouds
220,Saskylakh,71.9167,114.0833,100,100,1.39,RU,2021-03-27 18:16:28,-13.07,overcast clouds
221,Caravelas,-17.7125,-39.2481,53,0,9.08,BR,2021-03-27 18:19:22,84.69,clear sky
222,Iqaluit,63.7506,-68.5145,70,40,3.44,CA,2021-03-27 18:18:57,-9.4,scattered clouds
223,Antsohihy,-14.8796,47.9875,94,97,3.18,MG,2021-03-27 18:24:12,74.88,light rain
224,Puerto Maldonado,-12.6,-69.1833,94,75,3.44,PE,2021-03-27 18:24:12,77.0,heavy intensity rain
225,Bida,9.0833,6.0167,14,28,0.18,NG,2021-03-27 18:24:13,92.91,scattered clouds
226,Bubaque,11.2833,-15.8333,74,37,17.76,GW,2021-03-27 18:18:04,77.13,scattered clouds
227,Port Augusta,-32.5,137.7667,88,90,2.3,AU,2021-03-27 18:17:28,57.2,overcast clouds
228,Ayagoz,47.9714,80.4392,96,100,7.07,KZ,2021-03-27 18:24:13,37.4,overcast clouds
229,Parsabad,39.6482,47.9174,93,90,6.91,IR,2021-03-27 18:24:13,41.0,overcast clouds
230,Chokwe,-24.5333,32.9833,79,0,7.56,MZ,2021-03-27 18:23:08,73.54,clear sky
231,Saint-Augustin,51.226,-58.6502,67,68,15.88,CA,2021-03-27 18:24:14,24.6,broken clouds
232,Vila Franca Do Campo,37.7167,-25.4333,59,20,11.5,PT,2021-03-27 18:21:20,60.8,few clouds
233,Kerema,-7.9631,145.7785,88,62,3.49,PG,2021-03-27 18:24:14,78.31,broken clouds
234,Dingle,10.9995,122.6711,86,35,6.76,PH,2021-03-27 18:19:28,76.01,scattered clouds
235,Yatou,37.15,122.3833,91,97,11.81,CN,2021-03-27 18:19:56,43.09,overcast clouds
236,Big Bend,-26.8167,31.9333,93,7,6.15,SZ,2021-03-27 18:24:14,70.27,light rain
237,Suhbaatar,50.2314,106.2078,87,10,1.97,MN,2021-03-27 18:24:14,19.09,clear sky
238,High Level,58.5169,-117.136,50,75,10.36,CA,2021-03-27 18:24:15,24.8,broken clouds
239,Boa Vista,2.8197,-60.6733,70,75,11.5,BR,2021-03-27 18:24:15,84.2,broken clouds
240,Rossland,49.0831,-117.8022,68,45,11.01,CA,2021-03-27 18:24:15,39.0,scattered clouds
241,Iracoubo,5.4802,-53.2011,81,72,9.84,GF,2021-03-27 18:19:38,80.4,broken clouds
242,Lucapa,-8.4192,20.7447,90,41,2.84,AO,2021-03-27 18:22:11,67.71,scattered clouds
243,Uglegorsk,49.0833,142.0333,89,100,7.43,RU,2021-03-27 18:24:16,29.55,overcast clouds
244,Belaya Gora,68.5333,146.4167,96,99,3.83,RU,2021-03-27 18:19:25,-5.04,overcast clouds
245,Darhan,49.4867,105.9228,85,4,4.41,MN,2021-03-27 18:24:16,15.51,clear sky
246,Nanortalik,60.1432,-45.2371,69,17,21.23,GL,2021-03-27 18:20:55,10.42,few clouds
247,College,64.8569,-147.8028,79,90,1.25,US,2021-03-27 18:17:22,17.6,overcast clouds
248,Zyryanka,65.75,150.85,99,95,5.17,RU,2021-03-27 18:24:08,-20.2,overcast clouds
249,Loanda,-8.8368,13.2343,78,40,6.91,AO,2021-03-27 18:23:38,80.6,scattered clouds
250,Kardla,58.9978,22.7492,76,53,8.01,EE,2021-03-27 18:24:17,46.99,broken clouds
251,Victor Harbor,-35.5667,138.6167,95,23,4.9,AU,2021-03-27 18:24:17,57.0,few clouds
252,Talaya,61.3833,152.75,96,70,2.37,RU,2021-03-27 18:24:17,-21.26,broken clouds
253,Katsuura,35.1333,140.3,73,100,3.0,JP,2021-03-27 18:24:17,61.0,overcast clouds
254,Sohag,26.557,31.6948,18,0,13.8,EG,2021-03-27 18:24:18,68.0,clear sky
255,Salalah,17.0151,54.0924,74,0,4.61,OM,2021-03-27 18:17:53,80.6,clear sky
256,Ustye,59.6304,39.736,96,100,1.12,RU,2021-03-27 18:24:18,31.87,overcast clouds
257,Hanstholm,57.1167,8.6167,3,7,1.01,DK,2021-03-27 18:24:19,42.01,clear sky
258,Eydhafushi,5.1033,73.0708,77,100,11.52,MV,2021-03-27 18:24:19,81.23,light rain
